style,color,sizes,image file
#0650,BLK,#6-18,0650 Black_back_wm.jpg
#0650,CHOCO,#6-18,0650 Chocolate_wm.jpg
#0650,RYL,#6-18,0650 Royal_wm.jpg
#0650,SIL,#6-18,0650 Silver_wm.jpg
#0650,WHT,#6-18,0650 White_wm.jpg
#0650W,BLK,#14W-30W,0650 Black_back_wm.jpg
#0650W,CHOCO,#14W-26W,0650 Chocolate_wm.jpg
#0650W,RYL,#14W-30W,0650 Royal_wm.jpg
#0650W,SIL,#14W-26W,0650 Silver_wm.jpg
#0650W,WHT,#14W-30W,0650 White_wm.jpg
#0652,BLK,#10-18,0652 Black_wm.jpg
#0652,Emerald,#10-18,0652 Emerald_back_wm.jpg
#0652,RED,#10-18,0652 Red_wm.jpg
#0652W,BLK,#14W-22W,0652 Black_wm.jpg
#0652W,Emerald,#14W-26W,0652 Emerald_back_wm.jpg
#0652W,RED,#14W-24W,0652 Red_wm.jpg
#0653,BLK,#10-18,0653 Black_wm.jpg
#0653,WHT,#8-18,0653 White_back_wm.jpg
#0653W,BLK,#14W-26W,0653 Black_wm.jpg
#0653W,WHT,#14W-26W,0653 White_back_wm.jpg
#0654,RED,#8-18,0654 Red_wm.jpg
#0654,RYL,#8-18,0654 Royal_wm.jpg
#0654W,PURPLE,#14W-26W,0654 Purple_wm.jpg
#0654W,RED,#14W-26W,0654 Red_wm.jpg
#0654W,RYL,#14W-26W,0654 Royal_wm.jpg
#0655,BLK,#8-18,0655 Black_wm.jpg
#0655,NAVY,#8-18,0655 Navy_wm.jpg
#0655,RYL,#8-18,0655 Royal_wm.jpg
#0655,WHT,#8-18,0655 White_wm.jpg
#0655W,BLK,#14W-26W,0655 Black_wm.jpg
#0655W,NAVY,#14W-28W,0655 Navy_wm.jpg
#0655W,RYL,#14W-26W,0655 Royal_wm.jpg
#0655W,WHT,#14W-26W,0655 White_wm.jpg
#0707,WHT,#8-18,0707 White_back_wm.jpg
#0707W,WHT,#14W-28W,0707 White_back_wm.jpg
#0708,BLK,#8-18,0708 Black_wm.jpg
#0708,NAVY,#8-18,0708 Navy_wm.jpg
#0708,WHT,#8-18,0708 White_wm.jpg
#0708W,BLK,#14W-26W,0708 Black_wm.jpg
#0708W,NAVY,#14W-30W,0708 Navy_wm.jpg
#0708W,WHT,#14W-28W,0708 White_wm.jpg
#0709,BLK,#10-18,0709 Black_wm.jpg
#0709,Emerald,#8-18,0709 Emerald_back_wm.jpg
#0709,RED,#8-18,0709 Red_wm.jpg
#0709W,BLK,#14W-24W,0709 Black_wm.jpg
#0709W,Emerald,#14W-26W,0709 Emerald_back_wm.jpg
#0709W,RED,#14W-26W,0709 Red_wm.jpg
#0710,BLK,#8-18,0710 Black_wm.jpg
#0710,CHOCO,#8-18,0710 Chocolate_wm.jpg
#0710,IVY,#8-18,0710 Ivory_wm.jpg
#0710,NAVY,#8-18,0710 Navy_wm.jpg
#0710,RYL,#8-18,0710 Royal_wm.jpg
#0710,WHT,#8-18,0710 White_wm.jpg
#0710W,BLK,#14W-30W,0710 Black_wm.jpg
#0710W,CHOCO,#14W-30W,0710 Chocolate_wm.jpg
#0710W,IVY,#14W-28W,0710 Ivory_wm.jpg
